track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_country_prob,predicted_edm_prob,predicted_hip-hop_prob,predicted_latin_prob,predicted_pop_prob,predicted_rnb_prob,predicted_rock_prob,euclidean_dist,manhattan_dist,cosine_dist,cosine_dist_mod1,cosine_dist_mod2
3rRin3LyLY92kpEbkCgwf4,Basta Você Me Ligar - Ao Vivo,5Lv2GUVwqmQBPwrTrxucE5,Os Barões Da Pisadinha,2Zwru555EbXVqOQ1c30LLH,182976,2020-10-15,53,0.599,0.914,5.0,0.8909515340151177,0.0,0.0629,0.5,0.0,0.694,0.831,0.7254438542169701,6,rock,0.5363930767949722,0.0955024849399303,0.0126367788066811,0.0157550957038265,0.0930543614658926,0.2198839951281645,0.0267742071605322,0.5363930767949722,0.224,0.2239999999999999,0.132116838994672,0.5125274696218244,0.1653582552012189
4Ksj9mKfsYC5b8v8Ey3c8I,0.00,73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,600ClrWRsAr7jZ0qjaBLHz,179386,2020-03-22,42,0.174,0.0466,3.0,0.4451144953312583,1.0,0.0495,0.672,0.196,0.42,0.0337,0.4340198278555803,6,rock,0.6079580433533766,0.0252575820168533,0.0108202363581504,0.0069540158098872,0.0037558461453351,0.1316121919274292,0.2136420843889681,0.6079580433533766,0.2009999999999999,0.201,0.1384081386297332,0.3837449176873309,0.2059333778900476
4Z1fbYp0HuxLBje4MOZcSD,Twist And Shout - Remastered,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,7gDXyW16byCQOgK965BRzn,155226,1963-03-22,0,0.482,0.849,2.0,0.7024510893730547,1.0,0.0452,0.641,7.74e-06,0.0414,0.937,0.4790046302871913,6,rock,0.7866701139835746,0.1082755570667622,0.0114896223517223,0.00438353431327,0.0373468416876171,0.041259016698321,0.0105753138987326,0.7866701139835746,0.1069999999999999,0.1069999999999999,0.1393581635834839,0.6562382002881022,0.211767856379593
3tk5DaXxxUoV7b5nOdCDBv,Jesus Christ 2005 God Bless America,3mIj9lX2MWuHmhNCA7LSCW,The 1975,4V4ijZy3zgtfHmzrm1OlbN,264006,2020-04-03,43,0.541,0.287,2.0,0.5162850155624722,1.0,0.0345,0.878,0.00822,0.339,0.581,0.219458568871971,6,rock,0.3531806491419597,0.103529702074846,0.0088330155331854,0.0095374773526961,0.0060236165756248,0.2240031109258798,0.2948924283958079,0.3531806491419597,0.1659999999999999,0.166,0.1455945763126428,0.1543666266569028,0.1477412033531268
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,7tYKF4w9nC0nq9CsPZTHyP,SZA,781cKhbTPwLnPmo9BALQl7,279204,2020-12-25,83,0.436,0.655,1.0,0.7254613161405069,0.0,0.0583,0.499,8.1e-06,0.688,0.412,0.4583870692838677,6,rock,0.3340447110988022,0.1145838915833892,0.0487171489117896,0.0197127341238874,0.0092220534543002,0.2633136525829774,0.2104058082448541,0.3340447110988022,0.0609999999999997,0.061,0.146040228095081,0.2222057178555398,0.1532489765798876
3qCeq0rWK67SoBDgFd2sId,Feliz Navidad,7K78lVZ8XzkjfRSI7570FF,José Feliciano,6leYmQzvQjlUtmpNIL9XYQ,182306,2001,52,0.514,0.818,2.0,0.6901122721209426,1.0,0.0451,0.406,1.93e-06,0.299,0.967,0.615936141806096,6,rock,0.6352831059964901,0.2714675523267723,0.0016126521729758,0.0027966041392896,0.0306397500964314,0.0516205006223157,0.0065798346457248,0.6352831059964901,0.1389999999999999,0.139,0.1463628670395721,0.6446772034735146,0.2049822950446649
7mzHEzbsl5iOvBRuXwReZU,Paradise By the Dashboard Light,7dnB1wSxbYa8CejeVg98hz,Meat Loaf,0elHWyUbF2KLuHl8GjlzEM,508333,1977,54,0.326,0.872,2.0,0.7468041351711872,1.0,0.122,0.214,0.0,0.461,0.492,0.7559696616765614,6,rock,0.6824167329241465,0.1866717150168728,0.0175520290717535,0.0051498403007402,0.0019474535963202,0.0981417161455324,0.0081205129446341,0.6824167329241465,0.0490000000000001,0.0489999999999999,0.1479503462085509,0.635458986639552,0.214367339481466
7H0ya83CMmgFcOhw0UB6ow,Space Song,56ZTgzPBDge0OvCGgMO3OY,Beach House,194CqC2Zi0kUFEPWedb3qr,320466,2015-08-28,80,0.508,0.792,0.0,0.7548910626945309,0.0,0.0297,0.229,0.124,0.145,0.601,0.6064710394000511,6,rock,0.5637457978372429,0.0469702698735657,0.0796899172220911,0.006444349587561,0.0225922515230895,0.226643028655845,0.0539143853006045,0.5637457978372429,0.133,0.133,0.1516879248556648,0.513713979986626,0.1960128698632787
6UrKVLhzBYZY6fXmNyCLDi,Mele Kalikimaka - Single Version,6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby,47RV2hB4LybH5Q2jbs6ClV,173933,1970-01-01,0,0.463,0.285,3.0,0.6352545575811471,1.0,0.0476,0.838,0.0,0.241,0.525,0.930795670823509,4,pop,0.5124800352951588,0.0548001855392879,0.0005095933116973,0.0026236173530678,0.0246550157183969,0.5124800352951588,0.3971097073494862,0.0078218454329046,0.0880000000000001,0.088,0.0111022096720927,0.1920873248867264,0.0344581135092301
4QfNOZN7vrQCQKK1ZJ3XPb,Heaven,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,5pvLpqi54KJ3LiZ2pwdXoE,191813,2018-01-26,0,0.544,0.379,7.0,0.7048132503334815,0.0,0.0412,0.863,0.0,0.083,0.322,0.9058148453256823,4,pop,0.741438351335019,0.133099927962517,0.001484337977606,0.0017235060171875,0.0388463213607316,0.741438351335019,0.0802010071047153,0.0032065482422231,0.169,0.169,0.0140128625537951,0.5395967197492506,0.0900793528126657
