playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6T2YzThceFizkxbFxLmJJE,Trance & EDM,873,222kwbiz7o42yojj5tl2kbrvq,Musti,1674
0GoQedvZwO4jaWgtdZXOEs,EDM/HOUSE BANGERS,367,gabirpontius,gabirpontius,1319
0GoQedvZwO4jaWgtdZXOEs,EDM/HOUSE BANGERS,367,gabirpontius,gabirpontius,1319
5wPPiFaaB4Ou88we5iWrj6,TOP EDM,80,31watlapp7eafe5apr7tb425tyrq,Romo,1283
4JGT5MnoT1vQIfk7Skdvwl,EDM 2022 Dance Hits Top 40 TikTok,138,marcyannoficial,Marc Yann,1107
07C1SQg5iVmjgbhGrucy4n,Frat EDM,349,ben.banatao,ben.banatao,996
5SdfLmmMVTgROK9OymHroP,Adderall/Focus Edm,266,adampro1025,KnowLess,921
62A2xeWmVcizDHeW40KHtU,edm,459,111118210,Rikx,722
28TiAIPLmIZCQh4oaFosTS,🔥 EDM Trap Bangers 🔥,104,31djjvxes5dcnys2rqwzxqw7xope,Momo Bro,642
5oj455mYcpkFcwykFyLoPJ,Best Song Elettronica/EDM,4,1nyrxql0cxenqomxeufq1atln,LLC,618
4OJ0mXnYPMbjGl1TO0MQ8o,Daily Commute EDM,123,rpkyyj35s4f1o1puiy5s3kh9h,Scott,530
3oDZYfCtSz4CDaJmdj0Qan,EDM Latino,71,12124413734,Rodrigo Von Marées Montecinos,489
1BZWCS8HaEYGbsY6cd49Zs,EDM 🎧✨,407,bedhaewhas-id,Bedha Ewhas,484
0iEb4H2gN8M8UH8zw9bp9r,EDMS 2022,341,31fnbu3pmc6cje44kbe4fsj5iwui,Playlistpitching,482
6EcBJMWJhjUOGbFN8qhwRA,EDM..มันสุด,58,31n2zuxwflrtlynej4yhpwaolpbe,สมพร พงษ์โสภณ,343
