track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0EWi8m7AvHNTBB0BxSVUFX,Dead Eyes,18,248625,0Jw6CKzrWysc2oDVAblR2Q,Gotarux,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4NKHAGVN57w0kvCO492SC0,Say It's Alright - Radio Edit,26,240937,"['796xgYIGyQoBiJuPfKSRGv', '1LONn2pSQ6ERfIwyqCjLT2']","['The Indiigo Child', 'Lynett Nayade']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
2jU4DrnJiUvW4iaM5zcjmZ,Reasons,36,183000,"['5QclwTG2aoAwoeBBphkegt', '0g5HtpcRYsOQKGocoiZPjr']","['Michael Rice', 'AMBERLIND']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3OVroVxZZedKWHCPSh6ofi,Can't Feel Touch,30,144390,"['0DsznjV8aaiEYdTDHmy86L', '1Bff29cYcg0JkyYiyhFguD']","['Ozlig', 'Mosees']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
6z5KngnzWeqONtvD2KH7LD,On My Mind,26,236190,1pkdZoaV4A831ln2tBIRjZ,Cliff Scholes,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3Wn2LERRfDw8N6CAi1auJZ,Balenciaga,47,151142,0DsznjV8aaiEYdTDHmy86L,Ozlig,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
1leWBkbKeK11othHLOmg7b,MUCHACHA,27,156760,"['3KYPlVSnI7jfph9uDLCZjF', '1zMb8M162Vks3qhAYwovWo']","['Dario C', 'Rissbel']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3I3SHcoEiaoLSgfdryn3Om,Paradise,41,163200,"['3ZnVC33s8MBcF0KmAC4rj5', '07VdEUK5mf0rifGeNqs0Wg', '5m1yocXnIqkhC8dyQQd6Ve']","['N2N', 'Kevin McKay', 'Mila Falls']",3,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3b99YFY6IIx9z41YGsei8e,Dancing Under The Moon,30,156562,7JgLMiRf1ogwmyTskyD8vB,REMAZE,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
6h6NQsL81fUfDuGeYv6DAI,One More Time,32,171958,4HZ6JPWHwJbn32EwdOebxV,Benzio Music,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4h4axyQCI9LSjCwYyNz77L,Later On - Røman Mikø RMX,38,155520,"['2P1h10tRBVlC2lVUqhl6wm', '0CFAIbs9Ru6QgBSiZFAIo7']","['Yves Larock', 'RØMAN MIKØ']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
2ppEonoXFhUi8MX5SyJSvf,Dime - Remix,36,263069,"['3jXune8mAS9BykTihpcpxK', '0LchFvt86ISellwogYAn5b', '0HcvLsR00X8v6Aduvcd1PJ']","['Druiz', 'Mattea Made', 'Anthex']",3,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
6JPrQAHFHYkVEkwLoF75dB,We Call This Acid,40,353225,310IX3ZzFSl14ZvY2dM8Da,Silver Panda,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
48IOV8ZnirJ6KPxGXEJ29l,Need You Back,14,164774,1KsrymyXUKgsUIfJdsbMiK,Kelvin River,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
2L6HlDD4oD56Pwf5PSGJvd,Julian,39,255728,"['22sLqzalP9nWSfVtVxtJ5k', '0sCJq0aWIAWwGsNujLLnYV']","['Die Arkitekt', 'Lena Platonos']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
5RLQvIhKlmA4yNJWcFckUv,Fratoj,36,371366,"['1kAgfGexswhVsFKGRrcIMB', '50SCzzclPLasHTR2YuLJA7']","['Guzy', 'Vincent Vossen']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
0VqAmuEvXWHVYlMuZxJY4z,h2o,40,361440,6VYmmPEbo048rsmBbqi0Ia,Stereo Kulisse,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3RqAuDSVxX3UUCy2pUCGnQ,Criminal,45,145972,4oLiwEMNDQrI7niwHY9XYr,Monk Mafia,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
6rQ73BpPsbZslUf7C00dCt,Jenny from the Block,50,136229,"['3rmYE7edorDWoKVPGk9iLZ', '6kAJ6gi5VbfltXy4Wfkawq']","['Wasback', 'Yaat']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
6uRYoVSyPXp680QiEY4Qcr,Golden Tears - L.GU. Remix,38,263229,"['0vzOfcck1SjuV7qVfBfXTM', '23BTG5khrbevrJcTWqVbvs', '5HLFjiA44P1kaJHdoOfhHt']","['Solanca', 'Mira Nait', 'L.GU.']",3,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
29bT8ck6Elkq9EcwOLPqKw,Come Around,36,306648,4UaicVRW6mvnU0YS21r0pU,Dachy,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
0HFOliFMCwhfQp91uRMppw,Faint Voice,36,442926,4XGTJqsUg5WSOtUYC7sWmW,Arman,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
23QLsryxEKvlTHJwHiYSwb,My Own,32,449997,"['6Fd984bTk8JnpVROSaUbhn', '0mBkTixeprcflRIpyW8d9J']","['Clemente', 'Thimble']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4f1Upe6ZsYCvMPv6KmBVCN,Fall Down,36,150000,"['7c3CDjLPLotUtT0U4nSv0Z', '5qraIT1SiZRf5Mb2slGMzm']","['K1LO', 'N1CO']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
78940t6kRHDq51tJIFs4gJ,Blow My Mind,36,436363,4XGTJqsUg5WSOtUYC7sWmW,Arman,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
2OVwwdYdD0fgEAb2yoAJ2u,Luft Und Liebe,37,409426,5TK5jKewjDuQuXXRAguEml,Thomas Helmich,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4Q3CiebvQJU6iWdvc7RTZx,Good Time,32,142500,"['1g4eWxMcG96QhJYHqd5ysu', '5qraIT1SiZRf5Mb2slGMzm']","['CMAX', 'N1CO']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3cbgwjuKWazFxbjxJpSn1Y,Bring The Madness,33,188341,1azETt2TcA2Ap38cOebt8T,Guirzexx,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
2xSfholU0JmMIHO7kI9csK,Yekke,36,417000,4XGTJqsUg5WSOtUYC7sWmW,Arman,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
24Q0YwcZteTDHPjDxeBIoJ,Laika the Cosmonaut,34,189589,74XUiOYvymIQhKJtrcm45r,Killdares,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
1XtG8DiSm0YEkTU0h3oPe6,Foundation,37,420024,74XUiOYvymIQhKJtrcm45r,Killdares,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4tygSeC8AYwXyMhks4X2MH,Fake Paradise,34,170181,7ovh7ByF87b3urvtDYTyIP,The 24,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4a7LpoBBxgaWpksoRyxM6N,Regret (Radio Edit),35,264347,"['5NPIw0Kse7BHgHAzFm1v3f', '2FnBT2hJDD7lsP8l02rO7r']","['Nebukad', 'Tracy Ellen']",2,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
4STcG9wIHTsJWZhrhIvEB6,Polarity - Edit,42,183178,0Y53znZSnUq6ytRtwWoTej,Plasmatique,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
7J64hlDguerMqtZCv7JUHT,Top Floor,36,176250,5zU2VK6Yovo7cSAY6PR6GY,64BE,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
3reyJ2h6kPeFu1M71G0qz6,Out of the Dark,39,391684,2aztkMjmS8uRYHVejM5QhD,Vossberg,1,3F2o7xeKflJbdWKA2aDsFa,electronic/edm
