track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_country_prob,predicted_electronic_prob,predicted_jazz_prob,predicted_rap_prob,predicted_reggae_prob,predicted_rnb_prob,predicted_rock_prob
20JtELGPfOAMq7FpUt8eSM,Yellow Hearts,4jpsw9CQS439N0B7SecMgf,Ant Saunders,0ahjnylJzSIfobrUbMZnmL,223255,2019-06-18,0,0.866,0.399,7.0,0.5450153531218014,1.0,0.0745,0.117,0.0,0.0689,0.713,0.4771075404735281,3,jazz,0.40716628850384234,0.01360208100166036,0.03890110960795087,0.03154621279498436,0.40716628850384234,0.02758539549659185,0.2368079759203279,0.04790892814860167,0.19648200852604047
7rdUtXasA973gmrr2Xxh3E,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",163tK9Wjr9P9DmM0AVK7lm,Lorde,7kXQ0AvaykUJMxR0gRfr4d,214254,2017-09-14,68,0.781,0.548,0.0,0.7882497441146366,0.0,0.0764,0.229,0.0,0.127,0.175,0.34310126889980064,5,reggae,0.4070339515111679,0.004051780653424689,0.030552493698969476,0.032878844649649325,0.18547329441248578,0.10360749029374679,0.4070339515111679,0.22509625650549756,0.01130588827505867
5WrEilrRI5cIW0DxMvQYPZ,Jopping,5BHFSMEjfLVx1JwRWjAOsE,SuperM,1C1qYeSC9RdgbrKXpZCTSJ,251293,2019-10-04,62,0.74,0.835,10.0,0.8526100307062435,0.0,0.0839,0.0139,0.0,0.857,0.535,0.4405051290777383,2,electronic,0.4068127302645499,0.003776691501995227,0.01965182781918116,0.4068127302645499,0.05043379675723271,0.028385100306641438,0.0760810905291568,0.19164319296425364,0.22321556985698923
4LSkEJ5P5MV0y3PZqw7guJ,Sober,7DMveApC7UnC2NPfPvlHSU,Cheat Codes,4GRth1z0snfAbeLoZXtnpk,162924,2017-07-28,45,0.518,0.577,1.0,0.6631320368474922,1.0,0.0621,0.301,0.0,0.0639,0.462,0.17450410812387573,7,rock,0.40656187122552445,0.009001086024212046,0.19352952523586142,0.007438240839474954,0.16289298918911244,0.03890719957667044,0.09104472549388855,0.09062436241525566,0.40656187122552445
2gvlPqqngL3BppFCwLXnVc,Future,1z4g3DjTBBZKhvAroFlhOM,Red Velvet,06h9n6zGd1T17s1RkdXIc4,215880,2020-10-17,62,0.717,0.868,7.0,0.8670214943705219,1.0,0.04,0.438,0.0,0.148,0.552,0.30061621858136023,5,reggae,0.40643080248199004,0.003818474397095075,0.23789179049348952,0.0048616769584889615,0.031233797627852982,0.04152910604550432,0.40643080248199004,0.14396996905322468,0.13026438294235462
2IHLaN6wwYKQ3S24NsQqpA,I Love Me,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,3VKVZ7PvA64NtVJChPGDaH,203672,2020-03-06,62,0.664,0.561,6.0,0.7049744114636642,1.0,0.0495,0.00261,0.0,0.0764,0.713,0.605006320190578,7,rock,0.40635434420737204,0.008094261541696315,0.1847261084713887,0.07936099693041353,0.08028278149287468,0.03467258581588532,0.07732483000935254,0.12918409153101665,0.40635434420737204
3Wrjm47oTz2sjIgck11l5e,Beggin',0lAWpj5szCSwM4rUMHYmrr,Måneskin,2qJw6w5XwQO0PQlSWPu7Tw,211560,2017-12-08,86,0.714,0.8,11.0,0.7959877175025587,0.0,0.0504,0.127,0.0,0.359,0.589,0.5072196023141622,2,electronic,0.4059246736393713,0.000746865539204055,0.27379552067812823,0.4059246736393713,0.013323490384780874,0.03754166443900637,0.028413194031590934,0.04027627518052534,0.19997831610739278
3TSLqZssCoCdDlMhCJ08XW,Still Life,4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG,2oCAY48bhZvQte0l7apmYC,188369,2022-04-05,67,0.68,0.584,8.0,0.8103582395087,1.0,0.034,0.443,0.0,0.0628,0.239,0.41033837328017897,1,country,0.4058626581726847,0.0032455973523413152,0.4058626581726847,0.08753704433722666,0.04638541489609955,0.05742531306574968,0.10297196178941039,0.20295095763896753,0.0936210527475202
3uB6rxXYjmMEhOVJT763S6,Staying Up,4YXycRbyyAE0wozTk7QMEq,Matoma,6PooD6Mn6V02VQSDhCczwZ,190645,2017-08-31,42,0.649,0.865,0.0,0.8987103377686795,1.0,0.05,0.199,0.0,0.064,0.428,0.446624775147066,1,country,0.40545816277822894,0.007424803407263785,0.40545816277822894,0.27227422789081773,0.005703115667653704,0.027244823616734193,0.06334819845052912,0.07666013045033795,0.14188653773843476
1TEL6MlSSVLSdhOSddidlJ,needy,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2fYhqwDWXjbpjaIJPEfKFw,171573,2019-02-08,71,0.647,0.309,7.0,0.6674309109518934,0.0,0.0366,0.78,7.41e-06,0.202,0.195,0.221856920608683,1,country,0.4052813451238813,0.01740048445231902,0.4052813451238813,0.031618812651297894,0.22380738343583803,0.04701747800656216,0.05229381391356302,0.12803304370658178,0.09454763870995685
4vv1KjUzPwrtDbozizSfQc,Don't Quit (feat. Travis Scott & Jeremih),0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,4JBZ0QHveEpESepanNBG8A,229146,2017-06-22,47,0.652,0.827,7.0,0.8298874104401227,0.0,0.0445,0.015,0.0,0.432,0.659,0.30065268121931055,7,rock,0.40527372653971383,0.002092713173265835,0.12785612364366328,0.010375209155373046,0.01566470910765716,0.00612682148036007,0.26772521837201146,0.1648854785279552,0.40527372653971383
6zOhgKfbMiQWToE6K13s2s,Everyday,4xRYI6VqpkE3UwrDrAZL8L,Logic,0VQf8Ysv00VqQm4FSvdad3,204826,2018-03-02,58,0.668,0.756,1.0,0.8329989764585465,1.0,0.0382,0.0346,0.0,0.0793,0.474,0.6038820555204433,2,electronic,0.40519038935686824,0.006668397264637352,0.40519038935686824,0.37083700020403404,0.0053630900255284275,0.025184416476129956,0.028842590103270702,0.05181370487771777,0.10610041169181349
0Puudh380z6cOCgMaTNm7h,Future,0b1sIQumIAsNbqAoIClSpy,j-hope,0FrC9lzgVhziJenigsrXdl,139308,2022-07-15,70,0.717,0.822,6.0,0.7779324462640735,1.0,0.0879,0.0652,0.0,0.36,0.764,0.3129952841654918,5,reggae,0.40500793563105514,0.001949499814435683,0.09708800611636244,0.00538991439926159,0.060785336359577814,0.010967478843996186,0.40500793563105514,0.20156156340323036,0.2172502654320812
5Kskr9LcNYa0tpt5f0ZEJx,Calling My Phone,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,1QhKOq11hGEoNA42rV2IHp,205458,2021-02-12,7,0.907,0.393,4.0,0.6802047082906857,0.0,0.0539,0.451,1.35e-06,0.135,0.202,0.33066143225241873,3,jazz,0.4049819042817168,0.00927660793458925,0.07667726213739653,0.1356838793107224,0.4049819042817168,0.051349908731434926,0.2158478825258208,0.06947480468656038,0.03670775039175859
0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,5bb2Sf8jps2DTyI2urMThV,185486,2020-12-21,75,0.641,0.324,11.0,0.7532855680655066,1.0,0.0299,0.698,0.0,0.328,0.273,0.36247508386406724,3,jazz,0.4046283209573173,0.0029244269662408685,0.34173320446574745,0.0077844810169063125,0.4046283209573173,0.04482342407249456,0.01692741988939311,0.08256395088566827,0.09861477174623201
1NAyq9TrQIpLHWStUX4xAQ,ex i never had,49tQo2QULno7gxHutgccqF,LANY,20tgAhlplT42WnAAC8Xndk,201442,2021-09-03,66,0.65,0.388,10.0,0.7035823950870009,1.0,0.0332,0.306,0.0,0.114,0.628,0.2762834848558511,7,rock,0.4044717553947413,0.003720346666839993,0.12533345365547652,0.0024791049475992137,0.07148494855463952,0.009827824334788564,0.3034304129522327,0.07925215349368198,0.4044717553947413
